,mean_P_Normal,mean_P_Short-Circuit,mean_P_Degradation,mean_P_Open-Circuit,mean_P_Shadowing,pred_class,binary_screened_non_normal,ensemble_anomalous_score_uncalibrated,fold1_pred,fold2_pred,fold3_pred,fold4_pred,fold5_pred
2023-02-24 13:15:00+08:00,0.0002048048425875771,0.12768343887844008,0.695067805393443,0.0004585699910700028,0.17658538089445924,Degradation,1,0.9997951951574124,Degradation,Degradation,Shadowing,Degradation,Degradation
2023-02-24 13:30:00+08:00,0.00018418137711475132,0.13507467293234168,0.6402840727788701,0.002539406266827826,0.22191766664484555,Degradation,1,0.9998158186228853,Degradation,Degradation,Shadowing,Degradation,Degradation
2023-02-24 13:45:00+08:00,0.0001709111635578233,0.14502204912224842,0.40241027567160437,0.010380733571789154,0.4420160304708003,Shadowing,1,0.9998290888364422,Degradation,Shadowing,Shadowing,Degradation,Shadowing
2023-02-24 14:00:00+08:00,5.360613565678388e-05,0.0965451054457231,0.20444444041729012,0.03887001997707495,0.660086828024255,Shadowing,1,0.9999463938643433,Shadowing,Shadowing,Degradation,Shadowing,Shadowing
2023-02-24 14:15:00+08:00,8.875753841186484e-06,0.01699988846051202,0.027019355767486243,0.01115204119997337,0.9448198388181872,Shadowing,1,0.9999911242461588,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 14:30:00+08:00,3.261748197037606e-06,0.001166898514359685,0.0003499028535076409,0.00029230963209778154,0.9981876272518377,Shadowing,1,0.9999967382518029,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 14:45:00+08:00,2.558301895605136e-06,1.2425985738506114e-05,1.4719343310211708e-05,8.409388410415952e-08,0.9999702122751716,Shadowing,1,0.9999974416981045,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 15:00:00+08:00,7.025776587983178e-07,4.332289295770891e-08,2.802180179162253e-07,8.738960521568548e-10,0.9999989730075344,Shadowing,1,0.9999992974223412,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 15:15:00+08:00,6.330576196093705e-05,1.6755631255224926e-08,1.256415967241033e-07,1.1682562792904534e-09,0.9999365506725549,Shadowing,1,0.9999366942380391,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 15:30:00+08:00,0.0005078172820966335,1.317423700228493e-08,7.342032125876122e-08,4.994752853207243e-09,0.9994920911285924,Shadowing,1,0.9994921827179034,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
